TYPE,DYN_MassInHalfRad,DM_MassInHalfRad,R_eff,Mass,VelDisp,FCC-ID,FDS-ID
normal,9.214508080178806,9.03417552052366,0.3469307826385136,9.065747152294355,1.5185139398778875,136, 16\_D159 
normal,9.084508080178805,8.936238904819444,0.227744374919305,8.885747152294355,1.5185139398778875,202, 11\_D235 
normal,8.674508080178805,8.326647052404315,0.31071860998406897,8.755747152294354,1.2787536009528289,222, 11\_D283 
normal,9.094508080178805,8.997545782327068,0.308012716608144,8.735747152294355,1.4771212547196624,203, 10\_D189 
normal,8.844508080178805,8.67884530359895,0.2712100687003953,8.685747152294354,1.380211241711606,135, 15\_D384 
normal,9.304508080178806,9.245894158452328,0.40055792421375036,8.685747152294354,1.5440680443502757,100, 16\_D417 
normal,9.014508080178805,8.94301220017149,0.26526073618719415,8.555747152294355,1.462397997898956,245, 11\_D458 
normal,8.294508080178806,7.396763169178399,0.42195606891498083,8.535747152294356,1.0413926851582251,300, 7\_D326  
normal,8.744508080178806,8.63114469313586,0.19025256462696738,8.405747152294355,1.3617278360175928,188, 11\_D155 
small,9.764508080178805,9.58923434207173,0.16079758528869179,9.455747152294355,1.8864907251724818,277, 6\_D002  
small,9.584508080178805,9.404175520523658,0.09511880964471409,9.435747152294354,1.8325089127062364,143, 16\_D002 
small,9.114508080178807,8.790005129555466,0.09066446821846406,9.145747152294355,1.591064607026499,182, 11\_D279 
small,9.154508080178806,9.046935938825902,0.12919859921698945,8.875747152294355,1.6020599913279623,106, 15\_D417 
small,8.624508080178806,8.358191422080633,0.14921571273887665,8.565747152294355,1.3222192947339193,252, 11\_D069 
small,8.764508080178805,8.638464063061138,0.08616396699178766,8.495747152294355,1.4313637641589874,207, 11\_D396 
